imdb_title_id,companies
11623,Cosmopolitan Productions
11641,Ebner & Co.
11647,Paramount Pictures
11652,Metro Pictures Corporation
11679,J. Parker Read Jr. Productions
11716,Famous Players-Lasky Corporation
11723,Decla-Film-Gesellschaft Holz & Co.
11741,Mary Pickford Company
11742,Projektions-AG Union (PAGU)
11753,Paramount Pictures
11779,William S. Hart Productions
11833,Ilag-Film
11837,May-Film
11841,D.W. Griffith Productions
11865,Paramount Pictures
11870,Micheaux Book & Film Company
11904,Goldwyn Pictures Corporation
11908,Great Western Producing Company
11909,Famous Players-Lasky Corporation
11948,Max Linder Productions
11960,Projektions-AG Union (PAGU)
11979,Lois Weber Productions
12016,Cosmopolitan Productions
12027,Nazimova Productions
12068,Metro Pictures Corporation
12122,D.W. Griffith Productions
12125,Realart Pictures Corporation
12134,Gaumont Série Pax
12136,Cosmopolitan Productions
12187,Paramount Pictures
12190,Metro Pictures Corporation
12249,Art-Film GmbH
12281,Gloria-Film GmbH
12313,May-Film
12314,May-Film
12334,Svensk Filmindustri (SF)
12349,Charles Chaplin Productions
12364,Svensk Filmindustri (SF)
12382,Paramount Pictures
12397,Mary Pickford Company
12408,Mary Pickford Company
12465,Paramount Pictures
12486,Jackie Coogan Productions
12494,Decla-Bioscop AG
12513,Douglas Fairbanks Pictures
12532,D.W. Griffith Productions
12538,Universal Film Manufacturing Company
12631,Shôchiku Kinema Kenkyujo
12642,Hal Roach Studios
12645,Projektions-AG Union (PAGU)
12650,Rex-Film GmbH
12651,Uco-Film GmbH
12675,Paramount Pictures
12699,Cathrine Curtis Corporation
12745,Pathé Frères
12752,Douglas Fairbanks Pictures
12755,Mary Pickford Company
12763,Inspiration Pictures
12769,Lois Weber Productions
12806,Decla-Bioscop AG
12928,Cosmopolitan Productions
12938,Famous Players-Lasky Corporation
12952,Paramount Pictures
12973,Deulig Film
12975,Cosmopolitan Productions
13033,Films A. Legrand
13059,Sophus Madsen Film
13075,Hal Roach Studios
13085,Whaling Film Corp.
13122,
13134,Irving Cummings Productions
13140,Universal Film Manufacturing Company
13169,Primus-Film GmbH
13201,Hal Roach Studios
13223,Sleepy Hollow Corporation
13332,Thomas H. Ince Corporation
13367,Houdini Picture Corporation
13372,Paramount Pictures
13386,Universal Pictures
13402,Fox Film Corporation
13404,Famous Players-Lasky Corporation
13428,Bavaria Film
13442,Jofa-Atelier Berlin-Johannisthal
13450,Jackie Coogan Productions
13469,Wörner-Filmgesellschaft
13496,Uco-Film GmbH
13515,Metro Pictures Corporation
13556,Douglas Fairbanks Pictures
13571,Nazimova Productions
13574,Famous Players-Lasky Corporation
13579,Pan-Film
13590,Inspiration Pictures
13592,B.P. Schulberg Productions
13597,Goldwyn Pictures Corporation
13607,Fox Film Corporation
13619,Sascha-Film
13662,Mary Pickford Company
13674,Max Linder Productions
13688,Technicolor
13704,Universal Film Manufacturing Company
13705,Master Films
13741,Ernst Lubitsch-Film
13750,Cosmopolitan Productions
13802,Paramount Pictures
13830,Comedia-Film GmbH
13909,Fox Film Corporation
13933,Pathé Consortium Cinéma
13951,Paramount Pictures
14029,Mack Sennett Comedies
14108,Svenska Biografteatern AB
14109,Svensk Filmindustri (SF)
14112,Houdini Picture Corporation
14142,Universal Pictures
14205,Cosmopolitan Productions
14341,Joseph M. Schenck Productions
14358,Charles Chaplin Productions
14397,Leonardo-Film
14416,Mary Pickford Company
14417,Films Abel Gance
14429,Hal Roach Studios
14440,Metro Pictures Corporation
14446,Carl Froelich-Film GmbH (I)
14463,Universal Pictures
14497,Goldwyn Pictures Corporation
14516,Stern-Film
14524,Rex-Film GmbH
14532,Paramount Pictures
14538,Buster Keaton Productions
14586,Neptune-Film A.G.
14604,D.W. Griffith Productions
14605,Inspiration Pictures
14606,Universal Pictures
14611,Hal Roach Studios
14624,Charles Chaplin Productions
14636,Paramount Pictures
14646,Mezhrabpom-Rus
14672,D.W. Griffith Productions
14702,Warner Bros.
14721,Frank Lloyd Productions
14760,Sol Lesser Productions
14770,Alaska Moving Picture Corp.
14826,Fox Film Corporation
14854,Marshall Neilan Productions
14869,Inspiration Pictures
14874,Universal Pictures
14898,Les Films Jean Renoir
14900,Universum Film (UFA)
14925,Famous Players-Lasky Corporation
14945,The Harold Lloyd Corporation
14972,Metro-Goldwyn-Mayer (MGM)
14982,Constance Talmadge Film Company
15002,The Harold Lloyd Corporation
15014,Cinégraphic
15016,Fox Film Corporation
15018,D.W. Griffith Productions
15022,Cosmopolitan Productions
15036,Films Albatros
15064,Universum Film (UFA)
15116,Paramount Pictures
15119,Warner Bros.
15136,Universum Film (UFA)
15145,Paramount Pictures
15163,Buster Keaton Productions
15167,Goskino
15174,Decla-Bioscop AG
15175,Decla-Bioscop AG
15200,Paramount Pictures
15202,Berolina Film GmbH
15213,Mezhrabpom-Rus
15214,Films Diamant
15224,Famous Players-Lasky Corporation
15268,Metro-Goldwyn Pictures Corporation
15289,Inspiration Pictures
15310,Frank Lloyd Productions
15312,Joseph M. Schenck Productions
15324,Buster Keaton Productions
15361,1-ya Goskino Fabrika
15400,Douglas Fairbanks Pictures
15493,"Balcon, Freedman & Saville"
15498,Goldwyn Pictures Corporation
15500,Metro-Goldwyn Pictures Corporation
15518,Cosmopolitan Productions
15532,Comenius-Film GmbH
15624,Metro-Goldwyn-Mayer (MGM)
15634,Micheaux Film
15643,Cinema Corporation of America
15648,Goskino
15684,Metro-Goldwyn-Mayer (MGM)
15687,Warner Bros.
15693,Ritz-Carlton Pictures
15758,Elton Corporation
15768,Palladium Film
15772,Art Finance Corporation
15794,Films René Fernand
15801,Cinégraphic
15841,The Harold Lloyd Corporation
15842,Sofar-Film
15847,Kansai Education Division
15861,Victoria Film
15863,Buster Keaton Productions
15864,Charles Chaplin Productions
15872,Universal Pictures
