writer
Alexander Black
Charles Tait
"Hugo Hartung, Per Schwenzen"
"Shinobu Hashimoto, Fumio Hayasaka"
"W.R. Burnett, James R. Webb"
Jean Halain
"Robert L. Richards, Frank Davis"
"Pasquale Festa Campanile, Massimo Franciosa"
"Janet Alcoriza, Luis Alcoriza"
"William Ludwig, Sonya Levien"
"Robin Maugham, Robin Maugham"
Seere Salminen
"George Worthing Yates, Harold Jacob Smith"
"Betty Comden, Adolph Green"
"Richard Harding Davis, John Michael Hayes"
"Edward Bernds, Elwood Ullman"
"Milos Václav Kratochvíl, Otakar Vávra"
"Charles Chauvel, Elsa Chauvel"
"Ken Hughes, Philip Yordan"
"William Fairchild, William Fairchild"
"Nigel Balchin, Nigel Balchin"
"Russell S. Hughes, Delmer Daves"
Irving Wallace
"Jo Pagano, Jo Pagano"
"Dorothy Kingsley, Robert E. Sherwood"
"Takeo Murata, Shigeru Kayama"
"A.B. Guthrie Jr., Felix Holt"
"Wolf Mankowitz, Wolf Mankowitz"
Reino Helismaa
Stanley Kubrick
"Herbert Reinecker, Herbert Reinecker"
"Bert I. Gordon, Al Zimbalist"
"Robert Hardy Andrews, Christopher Knopf"
"Charles Lederer, Luther Davis"
"Mickey Spillane, A.I. Bezzerides"
"Franklin Coen, Richard Collins"
"Keiji Hasebe, Katsuhito Inomata"
Ingmar Bergman
"Zoltán Fábri, László Nádasy"
"Oscar Brodney, Oscar Brodney"
"Ward Greene, Erdman Penner"
"William Rose, William Rose"
"William Faulkner, Harry Kurnitz"
"Warren Duff, Sy Bartlett"
"Kenneth Gamet, Brad Ward"
"Alfred Hayes, William E. Barrett"
"Robert Nesbitt, Harold Purcell"
"Fritz Habeck, Michael A. Musmanno"
"Robert Presnell Jr., Leo Townsend"
"Larry Lansburgh, Bill Walsh"
"Jacques Laurent, Max Ophüls"
Herb Meadow
"Edward Hope, Marty Maher"
"Roy Rockwood, Ford Beebe"
Janet Green
"John Patrick, Han Suyin"
"Daniel Fuchs, Isobel Lennart"
"Margaret Cousins, John Lee Mahin"
"Rolf Husberg, Astrid Lindgren"
"Jean-Claude Aurel, Louis Chavance"
"Ekaterine Gabashvili, Carlo Gogodze"
"Boris Laskin, Nikolai Rozhkov"
"Jack Henley, Harry Clork"
"Charles Lang, Budd Boetticher"
"Wolf Mankowitz, W.P. Lipscomb"
"Wenceslao Fernández Flórez, Manuel Suárez Caso"
"John Tucker Battle, Mort Briskin"
"Eleanore Griffin, Catherine Marshall"
"Terence Rattigan, Terence Rattigan"
"N.B. Stone Jr., Richard Wilson"
"Borden Chase, D.D. Beauchamp"
"Lawrence Roman, Teddi Sherman"
"Philip Yordan, Frank Burt"
"Maurice Cowan, Vernon Sylvaine"
"Walter Newman, Lewis Meltzer"
"Harry Brown, Guy Trosper"
"Earl Felton, Jack Leonard"
"Pierre Dumarchais, Ghislaine Autant-Lara"
"Jean Delannoy, Philippe Erlanger"
"Paddy Chayefsky, Paddy Chayefsky"
"Douglas Heyes, Douglas Heyes"
"Mark Donskoy, Maxim Gorky"
"Jacques Laurent, Alexandre Astruc"
"Ivan Stadnyuk, Ivan Stadnyuk"
"Ted Sherdeman, Sam Rolfe"
"Frank S. Nugent, Joshua Logan"
"Titus Popovici, Ioan Slavici"
"Jan Lustig, Margaret Fitts"
Abrar Alvi
"Juan Antonio Bardem, Luis Fernando de Igoa"
"Aubrey Wisberg, Aubrey Wisberg"
"Blake Edwards, Richard Quine"
"Ursula Bruns, Erich Ebermayer"
Julian Zimet
"Maxwell Shane, Leo Katcher"
"Sacha Guitry, Sacha Guitry"
"Orville H. Hampton, Orville H. Hampton"
"Jack Lait, Lee Mortimer"
Andrew L. Stone
"Davis Grubb, James Agee"
"Don Martin, John K. Butler"
"Sachio Ito, Keisuke Kinoshita"
"Edna Anhalt, Edward Anhalt"
"Michael Powell, Emeric Pressburger"
"Sonya Levien, William Ludwig"
"Conrad Richter, Lawrence Roman"
Kaj Munk
"William Shakespeare, Sergei Yutkevich"
Noel Langley
"Al Lewis, Joseph Quillan"
"Viktor Shklovskiy, Ethel Lilian Voynich"
"Dino Maiuri, Mauricio de la Serna"
Ronald Davidson
"Richard Armstrong, William Fairchild"
"Bibhutibhushan Bandyopadhyay, Satyajit Ray"
"Jesse Lasky Jr., Talbot Jennings"
"Alberto Moravia, Suso Cecchi D'Amico"
"Carlos Blanco, Carlos Blanco"
Reino Helismaa
Reino Helismaa
Richard L. Breen
"Crane Wilbur, Daniel Mainwaring"
"Steno, Lucio Fulci"
"Daniel Taradash, William Inge"
Allen March
Agnès Varda
"Bohdan Czeszko, Bohdan Czeszko"
"Ken Hughes, Guy Green"
"Moss Hart, Eleanor Ruggles"
"Bridget Boland, Bridget Boland"
"William Roberts, Richard Alan Simmons"
"Robert Buckner, John Paxton"
"Henri Decoin, Georges Neveux"
"Joseph Breen, Samuel James Larsen"
"Oscar Brodney, Paul Armont"
Leck Fischer
"Ranald MacDougall, Edna L. Lee"
"Walter Scott, Robert Ardrey"
"Alberto Moravia, Sergio Amidei"
"Charles Kaufman, Hans Ruesch"
"Leonardo Benvenuti, Piero De Bernardi"
"Horace McCoy, Frank Gruber"
"Louis Bromfield, Merle Miller"
"Gerhart Hauptmann, Jochen Huth"
"Auguste Le Breton, Henri Decoin"
"Stewart Stern, Irving Shulman"
"Vicente Escrivá, Vicente Coello"
"Martin Berkeley, William Alland"
"Horace McCoy, Allen Rivkin"
"John O'Dea, Sidney Salkow"
"Tennessee Williams, Hal Kanter"
"Winston Miller, Harriet Frank Jr."
"Nelson Pereira dos Santos, Nelson Pereira dos Santos"
Frank Ferrin
"Hideji Hôjô, Hiroshi Inagaki"
"Lillie Hayward, Heck Allen"
"Eriprando Visconti, Eriprando Visconti"
Karl Tunberg
"Konrad Lustig, Walter Oehmichen"
"James Warner Bellah, John Twist"
"Charles Hoffman, Aristophanes"
"Curt Brandon, Robert E. Kent"
"Daniel B. Ullman, Daniel B. Ullman"
"Richard L. Breen, John C. Higgins"
"Melville Shavelson, Jack Rose"
"Billy Wilder, George Axelrod"
"Edward Dein, Mildred Dein"
"Masashige Narusawa, Hisakazu Tsuji"
"Nicholas Monsarrat, John Whiting"
"Clarke Reynolds, Rory Calhoun"
"Khwaja Ahmad Abbas, Khwaja Ahmad Abbas"
"Ketti Frings, Joseph A. Kramm"
Sacha Guitry
"Gino Mangini, Camillo Mastrocinque"
"Anthony Perry, John Baines"
"Peter Blackmore, Alan Melville"
"Jules Eckert Goodman, Irving Wallace"
Ernst Marischka
"Sydney Boehm, Joseph F. Dinneen"
"George F. Slavin, George W. George"
Giorgi Mdivani
"Ernest K. Gann, Ernest K. Gann"
Ingmar Bergman
"Jack Pollexfen, Aubrey Wisberg"
"Paul Andréota, Jacques Companéez"
"Oscar Brodney, Charles Hoffman"
"Jerome S. Gottler, Jerome S. Gottler"
"George Zuckerman, George Zuckerman"
"Michael Cacoyannis, Iakovos Kabanellis"
"A.E.W. Mason, R.C. Sherriff"
Frank Butler
"Herb Meadow, Don Martin"
"Valentine Davies, Beirne Lay Jr."
"Daniel B. Ullman, Daniel B. Ullman"
"George L. Du Maurier, Noel Langley"
David Stern
"Joseph Hoffman, Norman A. Fox"
"Sydney Boehm, Frank S. Nugent"
"Robert M. Fresco, Martin Berkeley"
"Manuel Tamayo, Julio Coll"
"James Warner Bellah, Sam Rolfe"
"William Lively, Edgar Rice Burroughs"
"Ray Buffum, Ray Buffum"
"Kenneth Gamet, Irving Ravetch"
"Julius J. Epstein, Max Shulman"
"Milton Krims, D.D. Beauchamp"
Horace McCoy
"Kate O'Brien, Sy Bartlett"
"Edward Hope, Leonard Stern"
"William Bowers, Leonard Kantor"
"Allen Rivkin, Dan Cushman"
"John Michael Hayes, David Dodge"
"Gil Doud, Audie Murphy"
"Robert Buckner, Sterling Noel"
"Steve Fisher, Richard Schayer"
"Ennio Flaiano, Agenore Incrocci"
"William Rose, Tania Rose"
"Niven Busch, J. Robert Bren"
"Don Mankiewicz, Don Mankiewicz"
"John Michael Hayes, Jack Trevor Story"
"Väinö Linna, Juha Nevalainen"
"Fumiko Hayashi, Yôko Mizuki"
"Werner Düggelin, Jeremias Gotthelf"
"Hall Bartlett, Kenyon J. Scudder"
"Walter Newman, Hugh King"
"Talbot Jennings, Frank Fenton"
"Derrick Boothroyd, R.F. Delderfield"
"Hamilton Basso, Philip Dunne"
"Harry Kleiner, Donald Hamilton"
"Sydney Boehm, William L. Heath"
"Harry Brown, Mindret Lord"
"Albert Husson, Ranald MacDougall"
"Hans Grimm, Gustav Kampendonk"
"Delmer Daves, Leo Townsend"
Daniel B. Ullman
"Neil Paterson, Neil Paterson"
"Crane Wilbur, Jack DeWitt"
"David Lang, David Lang"
"Nat S. Linden, R. John Hugh"
"Ching Doe, Matsutarô Kawaguchi"
"Sidney Sheldon, Edward Childs Carpenter"
"Stig Cederholm, Lennart Palme"
"George Orwell, William Templeton"
"Nigel Balchin, Philip MacDonald"
"Robert Creighton Williams, W.R. Burnett"
"Masashige Narusawa, Yoshiko Shibaki"
Robert Rossen
Paul Tabori
Norman Krasna
"Guy Bolton, P.G. Wodehouse"
"Bibhutibhushan Bandyopadhyay, Satyajit Ray"
"James Poe, John Farrow"
"Charles Eric Maine, Charles Eric Maine"
"Norman Brooks, James Poe"
"Jean Rouverol, Hugo Butler"
"Charles de Coster, René Barjavel"
"Ted Sherdeman, Kenneth M. Dodson"
Tennessee Williams
"Anthony Thorne, Jay Lewis"
"Jonathan Latimer, Richard Carroll"
"Frank Gruber, Borden Chase"
"John Lee Mahin, Maxwell Anderson"
"Agenore Incrocci, Furio Scarpelli"
Earl Felton
"Crane Wilbur, Ben Finney"
"Michael Powell, Emeric Pressburger"
Tom Filer
"Robert Hill, Jack DeWitt"
"William Bowers, Phoebe Ephron"
"Harry Brown, Francis Gwaltney"
"James Eastwood, Richard English"
Douglas Morrow
"Sonya Levien, Ivan Moffat"
"John Baines, John Baines"
"Sergio Amidei, Agenore Incrocci"
"Cyril Hume, Richard Maibaum"
"Sidney Sheldon, Preston Sturges"
"Michio Takeyama, Natto Wada"
"Gerald Drayson Adams, John C. Higgins"
"Robin Maugham, Robin Maugham"
"Orville H. Hampton, Orville H. Hampton"
"Louis L'Amour, Luci Ward"
"Joan Henry, John Cresswell"
Robert Lewin
"Daniel Jiménez, Jaime Salvador"
"Dalton Trumbo, Ben Perry"
"Georges Simenon, Sydney Boehm"
Ken Hughes
"George Zuckerman, Jess Arnold"
"Dalton Trumbo, Harry S. Franklin"
John C. Higgins
"Norman Krasna, Robert Carson"
"David Goodis, David Goodis"
"Irving Wallace, Louis L'Amour"
"George Axelrod, William Inge"
Inder Raj Anand
"Leonardo Martín, Leonardo Martín"
"Carlos Arniches, Juan Antonio Bardem"
"Raymond Vincy, Jesús María de Arozamena"
"Daniel B. Ullman, Daniel B. Ullman"
"Phoebe Ephron, Henry Ephron"
"Jean-Paul Le Chanois, Jean-Paul Le Chanois"
"Gore Vidal, Paddy Chayefsky"
"Jean Périne, Roger Vadim"
Robin Estridge
"Janet McNeill, Aubrey Danvers-Walker"
"Agha Jani Kashmiri, Agha Jani Kashmiri"
"Aleksander Scibor-Rylski, Aleksander Scibor-Rylski"
"Bryan Forbes, Richard Maibaum"
"Jacques Lancien, Arlette Reinerg"
Carl Krueger
Montgomery Pittman
"Whitman Chambers, Whitman Chambers"
"Houston Branch, Richard Alan Simmons"
Oscar Millard
"Carlo Ludovico Bragaglia, Ennio De Concini"
"Norman Panama, Melvin Frank"
"Jean Boyer, Gérard Carlier"
"Jack Townley, Jack Townley"
"Arthur A. Ross, Arthur A. Ross"
"Robert C. Dennis, Decla Dunning"
"Fyodor Dostoevsky, Charles Spaak"
"Reginald Rose, Reginald Rose"
"David Dortort, Whit Masterson"
Curt Siodmak
"Ivan Moffat, Harry Brown"
Frederick Louis Fox
"Devery Freeman, William Kozlenko"
"Tom Hubbard, John Patrick"
"Thomas W. Blackburn, Norman Foster"
"James Edmiston, Oscar Brodney"
Lou Rusoff
"Ken Hughes, Don Martin"
Charles Martin
"John Erskine, Christopher Isherwood"
"Bert Lawrence, Elwood Ullman"
"Jan Halek, Jaroslav Hasek"
"Boris Brodskiy, Mikhail Romm"
"Ivan Ribic, France Jamnik"
"Robert E. Kent, Robert E. Kent"
"Piero Tellini, Mario Monicelli"
"John T. Chapman, John T. Chapman"
"William Shakespeare, Yan Frid"
"Bernard Gordon, George Worthing Yates"
"Samuel A. Taylor, Leo Katcher"
"Jean Renoir, Jean Serge"
"William Benjamin, Roger Vadim"
"Luis Alcoriza, Carlos Llopis"
"William Fairchild, William Fairchild"
"Janet Green, Janet Green"
"Engholm, Hast"
"Frank D. Gilroy, Russell Rouse"
"Burt Kaiser, Bruno VeSota"
"Alfredo Giannetti, Pietro Germi"
Elwood Ullman
Howard Koch
"Daniel B. Ullman, Daniel B. Ullman"
"Devery Freeman, Stephen Longstreet"
"Charles B. Griffith, Mark Hanna"
"George Callahan, George Callahan"
"Cyril Hume, Irving Block"
"Sheldon Reynolds, Harold Jack Bloom"
Helen Deutsch
"Alessandro Blasetti, Suso Cecchi D'Amico"
"Herb Margolis, William Raynor"
"Jessamyn West, Michael Wilson"
"Myles Wilder, Myles Wilder"
Orville H. Hampton
"John Fante, John Fante"
"David Lang, David Lang"
"Robert E. Sherwood, S.N. Behrman"
"John W. Gossage, John Gilling"
"Brandon Fleming, Brandon Fleming"
"Albert Duffy, E.J. Kahn Jr."
"Émile Zola, Jean Aurenche"
"Edna Ferber, Fred Guiol"
"Frank Tashlin, Herbert Baker"
"Guy Trosper, Marion Hargrove"
"Lou Rusoff, Lou Rusoff"
"Gene Markey, Peter Milne"
"Albert Sidney Fleischman, James Street"
Nathaniel Benchley
"Lesser Samuels, Robert Hardy Andrews"
Lawrence Edward Watkin
"Al Morgan, José Ferrer"
"Paolo Frascà, Ruggero Maccari"
"Gerald Drayson Adams, Richard Schayer"
R. Wright Campbell
"Burt Kennedy, Sam Freedle"
"Charles B. Griffith, Mark Hanna"
"Will Tremper, Will Tremper"
"Zoltán Fábri, István Gyenes"
"Philip Yordan, Budd Schulberg"
"Carl Zuckmayer, Helmut Käutner"
"Blake Edwards, Blake Edwards"
"John Twist, Hugh Gray"
"Max Catto, Ian Dalrymple"
"Joseph Landon, Ken Hughes"
"John Patrick, Philip Barry"
"Samson Raphaelson, Philip Dunne"
"Ursula Bruns, Per Schwenzen"
"Walter Doniger, Pat Frank"
Erna Lazarus
"Heather McIntyre, Vernon Sewell"
"Yves Favier, Jean Manse"
"Jesse Lasky Jr., Jean Evans"
"Don Martin, Richard H. Landau"
John McGreevey
"Jack Townley, Elwood Ullman"
"Sterling Noel, Robert Buckner"
"Robert E. Kent, Robert E. Kent"
Johnny Carpenter
"W. Stanley Moss, Michael Powell"
Mikhail Kochnev
"Vy Russell, Sue Dwiggins"
"Daniel Mainwaring, Jack Finney"

Ben Hecht
Lou Rusoff
"Ted Willis, Ted Willis"
"Patrick Campbell, Catherine Cookson"
"Khwaja Ahmad Abbas, Amit Mitra"
"David P. Harmon, David P. Harmon"
Andrew L. Stone
"André Duquesne, Pierre Billon"
"Premendra Mitra, Tapan Sinha"
Thomas Funck
"Boris Laskin, Vladimir Polyakov"
"Carl K. Hittleman, Lee Hewitt"
Kay Lenard
"Harold Medford, John Hawkins"
"Stanley Kubrick, Jim Thompson"
"Richard Alan Simmons, Margaret Fitts"
"Ernest Lehman, Oscar Hammerstein II"
"Lawrence Roman, Ira Levin"
Michael Cacoyannis
"Enrique Jardiel Poncela, Vicente Escrivá"
"Fernando Méndez, Alejandro Verbitzky"
"Piero Regnoli, Mario Bava"
"Philip Yordan, Russell S. Hughes"
"Richard Brooks, Milton Lott"
"Ivor Montagu, Max Trell"
"James Edward Grant, Delmer Daves"
"Anne Day-Helveg, Thomas Fough"
"Albert Beich, Albert Beich"
"John Tucker Battle, Martin Rackin"
Graham Greene
"Robert Buckner, Maurice Geraghty"
"Morris Engel, Ruth Orkin"
"Norman Corwin, Irving Stone"
"Bertita Harding, Ewald André Dupont"
B. Arthur Cassidy
"John Michael Hayes, Charles Bennett"
"Ewen Montagu, Nigel Balchin"
"Richard Carr, Richard Carr"
"Nunnally Johnson, Sloan Wilson"
"William Rose, William Rose"
"Burt Kennedy, Frank Gruber"
"Edgar Allan Poe, Myles Wilder"
"Philippe Agostini, Odette Joyeux"
"Kenneth Gamet, DeVallon Scott"
"Isobel Lennart, Isobel Lennart"
"Péter Bacsó, István Békeffy"
"Giovanni Grimaldi, Ruggero Maccari"
"Andrés Laszlo, Andrés Laszlo"
Robert E. Kent
"Marc-Gilbert Sauvajon, Marc-Gilbert Sauvajon"
"Lindsay Hardy, Maclean Rogers"
"Sandro Continenza, Diego Fabbri"
"Ben Hecht, Ben Hecht"
"Ray Bradbury, John Huston"
"Maurice Geraghty, Milton Krims"
László Görög
"Samuel A. Taylor, Samuel A. Taylor"
"Luis Alcoriza, Luis Buñuel"
"Henri Troyat, Ranald MacDougall"
Kenneth R. Hayles
"Toshirô Ide, Aya Kôda"
"Jack Lewis, Ron Ormond"
"Helen S. Bilkie, Josef Shaftel"
"Branko Bauer, Arsen Diklic"
"Luigi Pirandello, Bruce Manning"
"Stirling Silliphant, David Goodis"
"Cornell Woolrich, Maxwell Shane"
"Shimon Wincelberg, Francis M. Cockrell"
"Fay Kanin, Michael Kanin"
"James Gunn, Gil Orlovitz"
"Marcel Aymé, Pierre Véry"
"Sidney Sheldon, Jerry Davis"
Rod Serling
"Marcel Achard, Marcel Carné"
"Leonid Lukov, Yakov Smolyak"
Armand Lohikoski
"Lou Rusoff, Dorys Lukather"
Richard H. Landau
"Sam Rolfe, Heck Allen"
"Al C. Ward, Donald Hyde"
"Frank Partos, John Cresswell"
"Ken Hughes, Robert Westerby"
"Dino Risi, Pasquale Festa Campanile"
"Robert Ardrey, Howard Swigett"
"Dick Irving Hyland, Robert Tallman"
"Alan Hackney, Frank Harvey"
"Edmund H. North, Joseph Petracca"
"Lucy Herndon Crockett, George Seaton"
"Keiji Hasebe, Keiji Hasebe"
"Richard H. Landau, Val Guest"
"Will Cook, Don Martin"
"Stewart Stern, Rod Serling"
"N. Richard Nash, N. Richard Nash"
"Cyril Hume, Richard Maibaum"
"Hasse Ekman, Povel Ramel"
"Harry Essex, Robert Hill"
"Earl Felton, Robert Presnell Jr."
"Paul Brickhill, Lewis Gilbert"
Danny Arnold
"Martin Berkeley, Lewis B. Patten"
"Arthur Gordon, David P. Harmon"
"Sydney Boehm, William Bradford Huie"
"William Shakespeare, David Garrick"
"Robert E. Kent, James B. Gordon"
"Milton Subotsky, Milton Subotsky"
"Vernon Sewell, Ernle Bradford"
"Jack DeWitt, Lou Morheim"
"Roy Boulting, Richard Connell"
"Steve Frazee, Marvin R. Weinstein"
"Christian-Jaque, Henri-Georges Clouzot"
"Anthony Veiller, Robert Buckner"
"Hideji Hôjô, Hiroshi Inagaki"
"Martin Rackin, Martin Rackin"
"John Mather, J.T. McIntosh"
"Antonio Pietrangeli, Antonio Pietrangeli"
"Alford Van Ronkel, Frank Tashlin"
"David Lang, Robert Presnell Jr."
"Morey Bernstein, Noel Langley"
"Frank S. Nugent, Alan Le May"
"Ivan Goff, Ben Roberts"
Burt Kennedy
"Peter Packer, Glendon Swarthout"
"Salah Abouseif, Sayid Bidir"
"David P. Harmon, John Hawkins"
"Lou Rusoff, Lou Rusoff"
"Art Napoleon, Jo Napoleon"
"Berne Giler, Clarence Upson Young"
"Kunio Kishida, Yôko Mizuki"
"El Sayed Bedeir, Youssef Chahine"
Ernst Marischka
Ingmar Bergman
Hasse Ekman
"Jerome Weidman, Harry W. Junkin"
"James M. Cain, Robert Blees"
"Moore Raymond, Anthony Kimmins"
"Ian Stuart Black, Robert Westerby"
"Abe Burrows, George S. Kaufman"
"David Duncan, Takeshi Kimura"
"Grigoriy Koltunov, Boris Lavrenyev"
"Kôgo Noda, Yasujirô Ozu"
"John Bryan, A.J. Cronin"
"Oscar Brodney, Lee Leighton"
"Lazar Lagin, Lazar Lagin"
"Herbert Reinecker, Udo Wolter"
Arvid Müller
"Daniel Taradash, Elick Moll"
"Horton Foote, Clinton Seeley"
Houston Branch
"Warren Douglas, David Evans"
"Barry Shipman, Barry Shipman"
"Sidney Cole, Michael Forlong"
"Ferenc Molnár, John Dighton"
"Grigori Adamov, Vladimir Alekseev"
"Robert Anderson, Robert Anderson"
"John Patrick, Vern J. Sneider"
"Charles Brackett, Edmund Goulding"
"Dorothy Clarke Wilson, J.H. Ingraham"
"Winston Miller, Frank Gruber"
Cesare Zavattini
"William Altman, Eleanor Brooke"
"Bernard C. Schoenfeld, Ursula Parrott"
"Frank Fenton, Ralph Wheelwright"
"Robert Barr, Janet Green"
"Gerald Drayson Adams, Devery Freeman"
"Jerome K. Jerome, Hubert Gregg"
"James Edward Grant, Leonard Praskins"
Sloan Nibley
"Margery Allingham, Anthony Pelissier"
Ben Barzman
"Robert Angus, Aben Kandel"
"Vittorio Metz, Edoardo Anton"
"Nicola Manzari, Edoardo Anton"
"Marcello Marchesi, Marcello Marchesi"
"Alfred Shaughnessy, Alfred Shaughnessy"
Beirne Lay Jr.
"Nevil Shute, W.P. Lipscomb"
"Robert Westerby, Ken Hughes"
"Marcella Burke, Frederick Kohner"
"Max Catto, Liam O'Brien"
"George Hurdalek, Herbert Reinecker"
"Marcel Aymé, Jean Aurenche"
"Michael Blankfort, Jack Schaefer"
"John Coates, John Coates"
Toshirô Ide
"Jay Cipes, Gentaro Nakajima"
"André Devigny, Robert Bresson"
"Herb Meadow, Lawrence B. Marcus"
"Giuseppe De Santis, Giuseppe De Santis"
"Jack Davies, Henry Blyth"
"Ken Englund, Brian Hooker"
Feliks Mironer
Aarne Tarkas

Wyott Ordung
"Gil Doud, Jack Sher"
"Leo Tolstoy, Bridget Boland"
"Robert E. Kent, James B. Gordon"
"Thomas W. Blackburn, Mary Jane Carr"
R.F. Delderfield
"Casey Robinson, Charles Einstein"
"T.E.B. Clarke, T.E.B. Clarke"
"John McPartland, John McPartland"
Robert Hill

"Edward Bernds, Edward Bernds"
"Jack Sher, Jack Sher"
"George Zuckerman, Robert Wilder"
"Jimmy Sangster, Jimmy Sangster"
"Julio Albo, Julio Alejandro"
"Samuel Hopkins Adams, Claude Binyon"
Yoshiko Kusuda
"Xun Lu, Yan Xia"
Lennart Palme
"Reginald Rose, Reginald Rose"
"Robert Creighton Williams, Christopher Knopf"
"John Mantley, John Mantley"
"Halsted Welles, Elmore Leonard"
"Henry S. Kesler, Donald Hamilton"
Richard Sale
Nigel Kneale
"Pamela Barrington, Barbara S. Harper"
"Graham Greene, Guy Elmes"
"Robert Carson, James Wellard"
"Vernon Harris, J.M. Barrie"
"Janet Green, Burton Lane"
"Delmer Daves, Leo McCarey"
"Claude Accursi, Claude Accursi"
"Dale Eunson, Katherine Albert"
"Mark Hanna, Bert I. Gordon"
Michel-Georges Michel
"René Hardy, Nicholas Ray"
"Felix Lützkendorf, Hans Habe"
"Winston Miller, George Agnew Chamberlain"
"Yôko Mizuki, Shusei Tokuda"
"Gigliola Falluto, Gigliola Falluto"
"Giuseppe Amato, Art Cohn"
Sacha Guitry
Frank Hall
"Ramón Obón, Raúl Zenteno"
Charles B. Griffith
"Jacques Becker, Maurice Leblanc"
"Daniel Mainwaring, Irving Shulman"
"Paddy Chayefsky, Paddy Chayefsky"
"Catherine Turney, Catherine Turney"
Tom Hubbard
Paul Monash
"Miklós Hubay, Sándor Hunyady"
"Hisashi Yamanouchi, Yûzô Kawashima"
"T.E.B. Clarke, T.E.B. Clarke"
"Rudolph Besier, John Dighton"
"Charles Grayson, Vincent B. Evans"
Edward I. Fessler
"John Baines, Rupert Croft-Cooke"
"Gene Fowler, Jack Rose"
"Fred Freiberger, Lester Gorn"
"Thomas Mann, Erika Mann"
"Pasquale Festa Campanile, Pasquale Festa Campanile"
"Gerhard Hartwig, Gerhard Klein"
"Theodore Reeves, Mary Chase"
"Wajahat Mirza, S. Ali Raza"
"Jo Eisinger, Robert Sylvester"
"Martin Berkeley, Lionel White"
"Frank Gruber, David Dortort"
"Jacques Rémy, Roger Vadim"
Jack Whittingham
Leo Gordon
"David Duncan, Robert Blees"
Aben Kandel
"Irving Wallace, Sam Rolfe"
Nikolay Pogodin
"Ivan Moffat, Dwight Taylor"
Ray Buffum
"Pierre Boulle, Carl Foreman"
"Georges Simenon, Lewis Meltzer"
"Frank Harvey, Jeffrey Dell"
"Sidney Sheldon, Robert Smith"
Kurt Früh
"Hammond Innes, Hammond Innes"
Leo Lieberman
"Beatriz Guido, Beatriz Guido"
"Janet Green, John Cresswell"
Lou Rusoff
"Ben Barzman, Jules Dassin"
"Patrick Brawn, Leo McKern"
Charles Chaplin
"David D. Osborn, Charles Sinclair"
"Jack Lait, Lee Mortimer"
"Takeshi Kimura, Jôjirô Okami"
Samuel Fuller
"Jean Redon, Yvan Audouard"
"Amleto Palermi, Ruggero Maccari"
"Robert Stabler, Eric Norden"
James Eastwood
Jo Eisinger
"Jimmy Sangster, Mary Shelley"
Bert I. Gordon
"Andrzej Munk, Jerzy Stefan Stawinski"
James Lee Barrett
"Maurice Tombragel, Herbert Purdom"
"Bernard Borderie, Bernard Borderie"
"Vaughan Wilkins, Robin Estridge"
Jack Pollexfen
"William Rose, William Rose"
"Martin Berkeley, William Alland"
"Arthur L. Davis, John McGreevey"
"Charles Lang, Vernon L. Fluharty"
"Martin Dibner, Harry Brown"
"James Fenimore Cooper, Carroll Young"
Don McGuire
Robert Altman
"Sergei Antonov, Stanislav Rostotskiy"
"George Wells, Helen Rose"
Leonid Lench
Reginald Rose
Jack Townley
G.D. Madgulkar
"Richard Gordon, Nicholas Phipps"
"Kenneth Gamet, Hal Biller"
"Miguel de Cervantes y Saavedra, Evgeniy Shvarts"
"William Brinkley, Dorothy Kingsley"
"Maxim Gorky, Akira Kurosawa"
"Ion Luca Caragiale, Jean Georgescu"
"Warren Douglas, Oliver Drake"
"Lou Rusoff, Lou Rusoff"
Hall Bartlett
"Robert Alan Aurthur, Robert Alan Aurthur"
"Wendell Mayes, D.A. Rayner"
"Jerzy Stefan Stawinski, Jerzy Stefan Stawinski"
Winston Miller
"Henri-Georges Clouzot, Jérôme Géronimi"
"Budd Schulberg, Budd Schulberg"
"Engholm, Hast"
"Ben Hecht, Ernest Hemingway"
"Apollonios Rhodios, Pietro Francisci"
"Ted Berkman, Raphael Blau"
"Robert Hill, Albert Zugsmith"
"Per Schwenzen, Hermann Leitner"
"Herbert J. Leder, Amelia Reynolds Long"
"Irwin Shaw, Max Catto"
"Bias Bernhoft, Sverre Bævre"
"Deborah Bedford, Roger Falconer"
"Albert Band, Albert Band"
"Sidney Gilliat, Frank Launder"
"Federico Fellini, Ennio Flaiano"
Samuel Fuller
"Richard Bernstein, Richard Bernstein"
Leonard Gershe
"Jason James, Lucas Todd"
"Richard Alan Simmons, Sylvia Tate"
"Lester Velie, Harry Kleiner"
"Samuel Newman, Paul Gangelin"
"Mauro Bolognini, Enzo Curreli"
"Devery Freeman, Paul Jarrico"
"Richard H. Landau, Peter Godfrey"
"J.B. Priestley, T.J. Morrison"
"Franco Solinas, Ennio De Concini"
"Sidney Gilliat, Frank Launder"
"Dalton Trumbo, Sally Stubblefield"
"Michelangelo Antonioni, Michelangelo Antonioni"
"Jack Leonard, Lawrence Resner"
Louis Stevens
"William Ludwig, Philip Yordan"
"Leon Uris, George Scullin"
"Walter Doniger, C. William Harrison"
"Talbot Jennings, Elisabeth Jennings"
"Gorô Tanada, Rokurô Tsukiji"
"Wolfgang Ott, Wolfgang Ott"
"Shigeru Kayama, Takeo Murata"
"George W. George, George F. Slavin"
"Arthur Julian, Joe Morheim"
