writer
Alexander Black
Charles Tait
"Joseph Conrad, Jules Furthman"
"C. Gardner Sullivan, C. Gardner Sullivan"
Thomas J. Geraghty
"Evelyn Campbell, Harvey Gates"
Mack Sennett
"Hans Brennert, Friedel Köhne"
"Norbert Falk, Hanns Kräly"
"Adrian Johnson, Cynthia Stockley"
"Pierre Benoît, Jacques Feyder"
"Edgar Høyer, Marie Corelli"
"Robert Louis Stevenson, Clara Beranger"
"Ferenc Herczeg, Gustaf Molander"
"Rasmus Breistein, Kristofer Janson"
"Frances Marion, Frances Marion"
"Harriet Bloch, Carl Mayer"
Carl Mayer
"Henrik Galeen, Paul Wegener"
"Arthur 'Bugs' Baer, Earle Browne"
"Henri Colpi, Gustave Grillet"
"Marcel L'Herbier, Honoré de Balzac"
"Fannie Hurst, Frances Marion"
"Ellis Parker Butler, William Parker"
"John McDermott, Paul Schofield"
Ludwig Ganghofer
"Franz Grillparzer, Victor Sjöström"
"Hanns Kräly, Ernst Lubitsch"
"James Fenimore Cooper, Robert Dillon"
"John Emerson, Anita Loos"
"D.W. Griffith, Ralph Stock"
Johnston McCulley
"Knut Hamsun, Gunnar Sommerfeldt"
"Thomas J. Geraghty, Harold McGrath"
"James Oliver Curwood, David Hartford"
"Eleanor H. Porter, Catherine Chisholm Cushing"
"Carl Theodor Dreyer, Kristofer Janson"
"Robert W. Chambers, Frances Marion"
"Hanns Kräly, Hanns Kräly"
"Edmund Day, Tom Forman"
"Bronson Howard, Victor Mapes"
C. Gardner Sullivan
Jeanie Macpherson
Fritz Lang
"Waldemar Young, Richard Bryce"
"Friedrich Freksa, Hanns Kräly"
"Arthur B. Reeve, John Grey"
Lambert Hillyer
"Herbert Juttke, Georg Kaiser"
"Fritz Lang, Thea von Harbou"
"Lottie Blair Parker, William A. Brady"
"Olga Printzlau, William C. de Mille"
Oscar Micheaux
"Gouverneur Morris, Ruth Wightman"
"Edgar Rice Burroughs, Robert F. Hill"
"Arthur Schnitzler, Jeanie Macpherson"
Max Linder
"Hanns Kräly, Ernst Lubitsch"
"Lois Weber, Marion Orth"
"F. Britten Austin, George D. Baker"
"Alexandre Dumas fils, June Mathis"
"June Mathis, Honoré de Balzac"
"Thomas Burke, D.W. Griffith"
"Elmer Harris, Elmer Harris"
Marcel L'Herbier
"Frank R. Adams, Luther Reed"
"Cecil B. DeMille, Jeanie Macpherson"
"Vicente Blasco Ibáñez, June Mathis"
"Erwin Gepard, Edward P. Vining"
Carl Mayer
"Thea von Harbou, Fritz Lang"
"Thea von Harbou, Fritz Lang"
"Juhani Aho, Mauritz Stiller"
Charles Chaplin
"Selma Lagerlöf, Victor Sjöström"
"Walter Woods, Sarah Y. Mason"
"Frances Hodgson Burnett, Bernard McConville"
Frances Marion
"Clara Beranger, Zona Gale"
"Max Abramson, Shirley Vance Martin"
"Fritz Lang, Thea von Harbou"
"Kenneth Davenport, Douglas Fairbanks"
"Adolphe d'Ennery, Eugène Cormon"
"Gardner Bradford, Tod Browning"
"Maxim Gorky, Wilhelm August Schmidtbonn"
"Hal Roach, Sam Taylor"
"Dimitri Buchowetzki, Alexandre Dumas"
"Carl Mayer, Lupu Pick"
"Rudolf Stratz, Carl Mayer"
"Edith Maude Hull, Monte M. Katterjohn"
"Ralph Connor, Faith Green"
"André Antoine, Émile Zola"
"Alexandre Dumas, Edward Knoblock"
"Gerald C. Duffy, Marion Fairfax"
"Joseph Hergesheimer, Edmund Goulding"
"Lois Weber, Marion Orth"
"Fritz Lang, Rolf E. Vanloo"
"Sophie Kerr, Luther Reed"
"Elinor Glyn, Jack Cunningham"
"Vicente Blasco Ibáñez, Tom Cushing"
"Willy Haas, Arthur Rosen"
"Mildred Considine, Brian Oswald Donn-Byrne"
"Jacques Feyder, Anatole France"
"Holger Drachmann, Carl Theodor Dreyer"
"Hal Roach, Sam Taylor"
John L.E. Pell
Louis Delluc
"Louis D. Lighton, Louis D. Lighton"
"Erich von Stroheim, Marian Ainslee"
"Carl Theodor Dreyer, Aage Madelung"
"Hal Roach, Sam Taylor"
"Washington Irving, Carl Stearns Clancy"
"R.D. Blackmore, Katherine S. Reed"
"Harry Houdini, Coolidge Streeter"
"Jeanie Macpherson, Alice Duer Miller"
"Finis Fox, Harvey Gates"
"Alexandre Dumas, Bernard McConville"
"Monte M. Katterjohn, Frank Norris"
"Gotthold Ephraim Lessing, Hans Kyser"
"Henrik Galeen, Bram Stoker"
"Charles Dickens, Frank Lloyd"
"Dimitri Buchowetzki, Karl Mueller-Hagens"
"Gerhart Hauptmann, Thea von Harbou"
"Anthony Hope, Mary O'Hara"
Douglas Fairbanks
"Oscar Wilde, Alla Nazimova"
"Jeanie Macpherson, Jeanie Macpherson"
"Arthur Robison, Rudolf Schneider"
"Porter Emerson Browne, Edmund Goulding"
"Wilbur Daniel Steele, Eve Unsell"
"Earle Browne, Arthur Conan Doyle"
"Lynn Reynolds, Lynn Reynolds"
"Michael Curtiz, Ladislaus Vajda"
"Grace Miller White, E. Lloyd Sheldon"
"Alexandre Dumas, Max Linder"
Frances Marion
"Lon Chaney, Lucien Hubbard"
"Winifred Graham, Frank Miller"
"Norbert Falk, Hanns Kräly"
"William LeBaron, Charles Major"
"Alethea Luce, John Ames Mitchell"
"Heinrich Laube, Paul Reno"
"Robert N. Lee, Booth Tarkington"
"Jean Epstein, Marie Epstein"
"Emerson Hough, Jack Cunningham"
"Bernard McConville, Mack Sennett"
"Selma Lagerlöf, Mauritz Stiller"
"Ragnar Hyltén-Cavallius, Selma Lagerlöf"

"Victor Hugo, Perley Poore Sheehan"
"Rida Johnson Young, Luther Reed"
"Jean C. Havez, Clyde Bruckman"
Charles Chaplin
"Fyodor Dostoevsky, Robert Wiene"
"Philippe Dumanoir, Norbert Falk"
Abel Gance
"Hal Roach, Sam Taylor"
"Rafael Sabatini, Willis Goldbeck"
"Rudolph Hans Bartsch, Willy Hennings"
"Charles Kenyon, William Dudley Pelley"
"Rupert Hughes, Rupert Hughes"
"Karl Grune, Carl Mayer"
Carl Mayer
Jeanie Macpherson
"Clyde Bruckman, Joseph A. Mitchell"
Henrik Galeen
D.W. Griffith
"Francis Marion Crawford, George V. Hobart"
"Tod Browning, Tod Browning"
"Sam Taylor, Ted Wilde"
Charles Chaplin
"Pierre Berton, Albert S. Le Vino"
"Aleksei Fajko, Fyodor Otsep"
