imdb_title_id,genre
12650,Drama
12651,"Crime, Drama, Horror"
12675,"Adventure, Drama, Romance"
12699,Drama
12745,Drama
12752,"Action, Adventure, Romance"
12755,"Comedy, Drama"
12763,Drama
12769,Drama
12806,Drama
12928,"Drama, Romance"
12938,"Drama, Romance"
12952,"Drama, Romance, Sport"
12973,Drama
12975,Romance
13033,Drama
13059,"Drama, Family, Fantasy"
13075,"Comedy, Romance"
13085,"Adventure, Drama, Romance"
13122,Drama
13134,Drama
13140,"Drama, Thriller"
13169,Drama
13201,"Comedy, Family"
13223,"Comedy, Drama, Horror"
13332,"Drama, Romance"
13367,Mystery
13372,Drama
13386,Drama
13402,"Drama, Romance"
13404,Adventure
13428,"Drama, History"
13442,"Fantasy, Horror"
13450,Drama
13469,"Drama, Romance"
13496,"Drama, Romance"
13515,"Adventure, Romance"
13556,"Adventure, Family, Romance"
13571,"Biography, Drama, History"
13574,"Comedy, Romance"
13579,"Drama, Fantasy, Horror"
13590,"Drama, Romance"
13592,Drama
13597,"Drama, Mystery"
13607,"Action, Drama, Romance"
13619,Drama
13662,"Drama, Romance"
13674,"Action, Adventure, Comedy"
13688,"Drama, Family, Fantasy"
13704,Drama
13705,"Drama, Crime"
13741,"Drama, History"
13750,"Romance, Drama"
13802,"Romance, Drama"
13830,Drama
13909,Drama
13933,"Drama, Romance"
13951,"Adventure, Romance, Western"
14029,"Comedy, Romance"
14108,Drama
14109,"Drama, Romance"
14112,"Adventure, Crime, Drama"
14142,"Drama, Horror, Romance"
14205,"Comedy, Romance"
14341,"Comedy, Romance, Thriller"
14358,Comedy
14397,Drama
14416,"Romance, Comedy"
14417,Drama
14429,"Action, Comedy, Thriller"
14440,"Drama, Romance"
14446,"Drama, Romance"
14463,Drama
14497,"Comedy, Drama, Romance"
14516,Drama
14524,Drama
14532,"Biography, Drama, Fantasy"
14538,Comedy
14586,"Fantasy, Horror"
14604,"Drama, Romance"
14605,"Drama, Romance"
14606,"Crime, Drama, Mystery"
14611,"Adventure, Comedy, Family"
14624,"Drama, Romance"
14636,"Romance, Drama"
14646,"Adventure, Comedy, Drama"
14672,"Drama, History, War"
14702,"Drama, History, Romance"
14721,"Drama, Romance, Sci-Fi"
14760,Drama
14770,"Adventure, Drama"
14826,"Drama, Horror, Romance"
14854,"Drama, History, Romance"
14869,Drama
14874,Drama
14898,"Drama, Romance"
14900,Comedy
14925,Comedy
14945,"Comedy, Romance"
14972,"Drama, Romance, Thriller"
14982,"Comedy, Romance"
15002,Comedy
15014,"Adventure, Drama, Mystery"
15016,"History, Romance, Western"
15018,"Drama, Romance"
15022,"Drama, History, Romance"
15036,Drama
15064,Drama
15116,"Drama, Comedy"
15119,Comedy
15136,"Drama, Romance"
15145,"Drama, Romance"
15163,"Action, Comedy, Romance"
15167,Comedy
15174,"Adventure, Drama, Fantasy"
15175,"Adventure, Drama, Fantasy"
15200,Comedy
15202,"Crime, Horror, Mystery"
15213,"Comedy, Romance"
15214,Sci-Fi
15224,"Adventure, Fantasy, Family"
15268,Drama
15289,"Drama, History"
15310,"Adventure, Drama, Romance"
15312,Drama
15324,"Action, Comedy, Romance"
15361,Drama
15400,"Adventure, Family, Fantasy"
15493,Drama
15498,"Drama, Romance"
15500,"Comedy, Drama"
15518,Romance
15532,"Animation, Adventure, Family"
15624,"Drama, Romance, War"
15634,Drama
15643,Western
15648,"Drama, History, Thriller"
15684,Drama
15687,"Adventure, Romance, Western"
15693,"Drama, Romance"
15758,"Adventure, Romance"
15768,Drama
15772,"Action, Comedy, Drama"
15794,"Drama, Fantasy"
15801,Drama
15841,"Comedy, Family, Romance"
15842,Drama
15847,Drama
15861,"Drama, Romance"
15863,"Comedy, Western"
15864,"Adventure, Comedy, Drama"
15872,Drama
15881,"Drama, Thriller, Western"
15883,Drama
15909,Comedy
15935,"Biography, Drama, History"
16004,Comedy
16005,"Drama, Romance"
16006,Drama
16013,"Action, Comedy, Drama"
16023,"Drama, Romance"
16028,"Drama, Comedy"
16029,"Comedy, Family, Musical"
16039,"Adventure, Fantasy, Thriller"
